"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS0150","San Jose","Santa Clara County","CA","Santa Clara County Sheriff's Office","Sheriff","The Santa Clara County Sheriff’s Office ordered 1,200 Axon body-worn Cameras in 2017.","County","Body-worn Cameras","Axon","https://www.prnewswire.com/news-releases/santa-clara-county-sheriffs-department-and-nevada-highway-patrol-to-deploy-body-cameras-with-evidencecom-from-axon-300416601.html","","Cision","","3/2/2017","","","","","","","","","","",""
"AOS0151","Los Angeles","Los Angeles County","CA","California State University Northridge Police Department","Police","The California State University Northridge Police Department began deploying 28 Axon body-worn Cameras in 2018. The BWC program will cost $185,000 over five years. ","University","Body-worn Cameras","Axon","https://www.dailynews.com/2017/10/29/csun-police-are-now-wearing-body-cameras-in-move-to-enhance-bonds-with-community/","","Los Angeles Daily News","","10/29/2017","https://csunshinetoday.csun.edu/university-news/csun-police-strengthen-positive-relationship-with-campus-community/","","CSUN Today","","08/22/17","","","","","",""
"AOS0153","Morgan HIll","Santa Clara County","CA","Morgan Hill Police Department","Police","Morgan Hill Police Department has been using PredPol (now Geolitica) since June, 2011. According to Morgan Hill's 2014-2015 budget, patrol checks based on PredPol (now Geolitica) data were conducted 3,900 times. ","Municipal","Predictive Policing","Geolitica"," https://www.predpol.com/piedmont-california-civic-organization-highlights-predpol/","","PredPol","","","https://www.ksbw.com/article/predictive-policing-now-in-morgan-hill/1284659","","KSBW","","07/11/12","https://www.morgan-hill.ca.gov/Archive/ViewFile/Item/1678","","City of Morgan Hill","","07/01/13",""
"AOS0154","Suisun City","Solano County","CA","Suisun City Police Department","Police","The Suisun City Police Department have been using body-worn Cameras since 2010.  As of 2018, SCPD contracts with Axon at a cost of about $33,000 per year. ","Municipal","Body-worn Cameras","Axon","https://www.suisun.com/wp-content/files/Suisun_City_Council_Agenda_July_24_2018.pdf","","City of Suisun","","07/24/2018","https://www.suisun.com/wp-content/files/Suisun_City_FY_2018-19_Budget_Complete.pdf","","City of Suisun","","06/19/2018","","","","","",""
"AOS0155","Monterey","Monterey County","CA","Monterey Police Department","Police","The Monterey Police Department began using PredPol (now Geolitica) predictive policing software sometime between 2015 and 2017. ","Municipal","Predictive Policing","Geolitica","https://monterey.org/Portals/0/Reports/Finance/Budget/Adopted-Budget-2017-2019-Biennium_FINAL.pdf","","City of Monterey adopted budget pg 81","","2017-2019","","","","","","","","","","",""
"AOS0156","Watsonville","Santa Cruz County","CA","Watsonville Police Department","Police","The Watsonville Police Department equipped all of its officers with 75 Axon body-worn Cameras in 2019. The five-year contract cost more than $470,000. 
","Municipal","Body-worn Cameras","Axon","https://patch.com/california/watsonville/all-watsonville-patrol-officers-now-wearing-body-cameras","","Patch","","07/22/19","https://www.santacruzsentinel.com/2019/03/28/watsonville-police-receive-funding-for-body-cameras/","","Santa Cruz Sentinel","","03/28/19","https://watsonville.legistar.com/LegislationDetail.aspx?ID=3896669&GUID=D9491668-F652-41C1-A06D-0FB647D87597&Options=&Search=","","Watsonville Legistar","","03/26/19",""
"AOS0158","Modesto","Stanislaus County","CA","Stanislaus County Sheriff's Office","Sheriff","Stanislaus County Sheriff's Office purchased body-worn cameras for 180 deputies and 30 sergeants in April 2019. The BWCs cost about $70 per officer","County","Body-worn Cameras","Axon","https://www.abc10.com/article/news/crime/sheriffs-department-releases-body-cam-video-of-deadly-july-hostage-situation-in-modesto/103-cf60572a-bf69-42be-9a6c-e88f8b73b898","","ABC News","","8/9/2019","https://www.facebook.com/stansheriff/videos/critical-incident-body-worn-camera-video/951137088562745/","","Facebook","","8/8/2019","https://www.modbee.com/news/local/crime/article228715924.html","","Modesto Bee","","04/02/2019",""
"AOS0159","Lemoore","Kings County","CA","Lemoore Police Department","Police","The Lemoore Police Department began using body-worn cameras in 2015. ","Municipal","Body-worn Cameras","","http://www.mylemooreleader.com/114979","","The Leader","","05/29/15","https://hanfordsentinel.com/news/local/local-police-kings-county-has-our-back/article_ba792f55-a598-50e8-93fa-9b3406f59857.html","","The Hanford Sentinel","","9/5/2015","","","","","",""
"AOS0160","Fresno","Fresno County","CA","Fresno Police Department","Police","The Fresno City Council signed a $80,000 contract with PredPol (now Geolitica) for predictive policing software in 2016. ","Municipal","Predictive Policing","Geolitica","https://fresno.legistar.com/LegislationDetail.aspx?ID=2601912&GUID=7FDC5705-B39F-4B87-8D64-3F3B9A88AD1A","","Fresno Legistar","","3/31/2016","https://teamupturn.gitbooks.io/predictive-policing/content/systems/predpol.html","","Predictive Policing report","","2016","","","","","",""
"AOS0162","Modesto","Stanislaus County","CA","Modesto Police Department","Police","The Modesto Police Department began using PredPol (now Geolitica) predicitive policing software in January 2014.","Municipal","Predictive Policing","Geolitica","https://www.kcra.com/article/modesto-police-see-double-digit-drop-in-crime/6418110","","KRCA","","11/12/2014","","","","","","","","","","",""
"AOS0163","Riverside","Riverside County","CA","Riverside County Sheriff's Department","Sheriff","The Riverside and San Bernardino County Sheriff's Departments began sharing a face recognition database in 2012","County","Face Recognition","","https://onezero.medium.com/california-police-are-sharing-facial-recognition-databases-to-id-suspects-3317726d31ad","","OneZero","","8/1/2019","http://www.dataworksplus.com/newsarchives.html","","Dataworks Plus","","2012","https://yro.slashdot.org/story/19/08/01/1421232/california-police-are-sharing-facial-recognition-databases-to-id-suspects","","Slashdot","","8/1/2019",""
"AOS0164","San Bernardino","San Bernardino County","CA","San Bernardino County Sheriff's Department","Sheriff","The Riverside and San Bernardino County Sheriff's Departments began sharing a face recognition database in 2012","County","Face Recognition","","https://onezero.medium.com/california-police-are-sharing-facial-recognition-databases-to-id-suspects-3317726d31ad","","OneZero","","8/1/2019","http://www.dataworksplus.com/newsarchives.html","","Dataworks Plus","","2012","https://yro.slashdot.org/story/19/08/01/1421232/california-police-are-sharing-facial-recognition-databases-to-id-suspects","","Slashdot","","8/1/2019",""
"AOS0170","San Francisco","San Francisco County","CA","San Francisco Police Department","Police","The San Francisco Police Department purchased Axon body-worn cameras in 2014 as part of pilot program. It formalized its BWC policy in 2016. ","Municipal","Body-worn Cameras","Axon","https://www.sanfranciscopolice.org/sites/default/files/2018-11/COMMISSION-DGO-10.11-BODYWORNCAMERAS.pdf","","San Francisco Police Department","","06/01/2016","https://www.kqed.org/news/10556899/the-story-behind-the-sfpd-body-cam-programs-many-delays","","KQED","","06/18/2015","https://www.facebook.com/photo?fbid=10157148288670749&set=a.373798180748","","SFPD","","2019",""
"AOS0206","Alhambra","Los Angeles County","CA","Alhambra Police Department","Police","In January 2013, Alhambra Police Department became the agency in Southern California to use PredPol (now Geolitica) predictive policing software citywide.","Municipal","Predictive Policing","Geolitica","https://www.predpol.com/alhambra-police-laud-predpol-successes/","","Pasadena Star-News","","2/11/2014","https://www.cityofalhambra.org/resources/history-to-present","","City of Alhambra","","","https://web.archive.org/web/20130826212252/https://www.cityofalhambra.org/government/police_department/PredictivePolicing.html","","City of Alhambra","","",""
"AOS0207","Campbell","Santa Clara County","CA","Campbell Police Department","Police","In 2008, the Campbell Police Department purchased body-worn cameras with grant funding. The department has body-worn cameras for every officer assigned to the patrol division.","Municipal","Body-worn Cameras","Axon","https://issuu.com/cityofcampbell/docs/cpd_2014_yir_final","","Campbell Police Department","","4/28/2015","https://www.mercurynews.com/2015/11/24/santa-clara-police-outfits-officers-with-body-worn-cameras/","","Mercury News","","11/24/15","","","","","",""
"AOS0209","Clayton","Contra Costa County","CA","Clayton Police Department","Police","In 2018, the Clayton Police Department was authorized to purchase Axon body-worn cameras for roughly $33,000 per year for 5 years.","Municipal","Body-worn Cameras","Axon","https://ci.clayton.ca.us/fc/police/clayton-police-department-policy-manual.pdf","","Police Departmen","","02/20/2018","https://www.suisun.com/wp-content/files/Suisun_City_Council_Agenda_July_24_2018.pdf","","Suisun City Website","","06/24/2018","","","","","",""
"AOS0214","Modesto","Stanislaus County","CA","Modesto Police Department","Police","In 2018, Axon supplied 11 drones to the Modesto Police Department.  ","Municipal","Drones","Axon","https://sacramento.cbslocal.com/2018/06/13/modesto-police-drone-program/","","CBS Sacramento","","06/18/2018","https://dronecenter.bard.edu/projects/public-safety-drones-project/public-safety-drones-3rd-edition/","","Center for the Study of the Drone at Bard College","","2020","https://www.fool.com/investing/2018/06/11/axon-enterprise-takes-to-the-skies-with-dji.aspx","","www.fool.com","","",""
"AOS0216","San Mateo","San Mateo County","CA","San Mateo Police Department","Police","In February 2018, the San Mateo Police Department announced that all officers would be equipped with Axon body-worn cameras.","Municipal","Body-worn Cameras","Axon","https://local.nixle.com/alert/6397493/","","NIXLE","","2/8/2018","https://www.cityofsanmateo.org/3890/FAQ-Police-Body-Cameras","","City of San Mateo","","","https://www.cityofsanmateo.org/DocumentCenter/View/65023/Body-Worn-Camera-Policy","","City of San Mateo","","04/18/2018",""
"AOS0237","San Jose","Santa Clara County","CA","U.S. Customs and Border Protection - San Jose International Airport","DHS","The San Jose International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0238","Los Angeles","Los Angeles County","CA","U.S. Customs and Border Protection - Los Angeles International Airport","DHS","The Los Angeles International Airport  is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0241","San Francisco","San Francisco County","CA","U.S. Customs and Border Protection - San Francisco International Airport","DHS","The San Francisco International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0243","Salinas","Monterey County","CA","Salinas Police Department","Police","The Salinas Police Department acquired Axon body-worn cameras in 2014.","Municipal","Body-worn Cameras","Axon","https://www.salinaspd.com/content/salinas-police-department-wins-grant-to-buy-body-cameras","","Salinas Police department ","","12/01/14","https://www.thecalifornian.com/story/news/2019/02/08/salinas-police-name-officers-who-shot-man-replica-gun/2807031002/","","The Californian","","02/09/19","","","","","",""
"AOS0244","Santa Monica","Los Angeles County","CA","Santa Monica Police Department","Police","The Santa Monica Police Department purchased WatchGuard body-worn cameras in 2017, but switched to Axon BWCs in December 2018. 
","Municipal","Body-worn Cameras","Axon","https://www.smdp.com/new-body-cameras-approved-for-smpd/171893","","Santa Monica Daily Press","","01/03/2019","https://www.surfsantamonica.com/ssm_site/the_lookout/news/News-2018/December-2018/12_13_2018_Police_Department_to_Replace_Faulty_Camera_Systems.html","","Santa Monica Lookout","","12/13/2018","","","","","",""
"AOS0260","Pleasant Hill","Contra Costa County","CA","Pleasant Hill Police Department","Police","The Pleasant Hill police Department has used body-worn cameras since 2017.","Municipal","Body-worn Cameras","","https://www.eastbaytimes.com/2017/11/20/pleasant-hill-police-wearing-body-cameras/","","East Bay Times","","11/20/2017","https://www.facebook.com/photo?fbid=3174888282556068&set=a.181409508570642","","Pleasant Hill Police","","2020","","","","","",""
"AOS0263","Manteca","San Joaquin County","CA","Manteca Police Department","Police","The Manteca Police Department spent $70,000 on 50 body-worn cameras in 2014.","Municipal","Body-worn Cameras","","https://www.capradio.org/articles/2014/03/11/manteca-police-get-body-cameras/ ","","Capradio","","03/11/2014","","","","","","","","","","",""
"AOS0291","San Francisco","San Francisco County","CA","San Francisco District Attorney's Office","District Attorney","The San Francisco District Attorney's office maintains a camera registry. ","County","Camera Registry","","https://www.sfdistrictattorney.org/register-your-camera","","San Francisco Government Website","","","","","","","","","","","","",""
"AOS0292","Alameda","Alameda County","CA","Alameda Police Department","Police","The Alameda Police Department's policy manual indicates that all uniformed officers use body-worn cameras when in the field.","Municipal","Body-worn Cameras","Axon","https://www.alamedaca.gov/files/sharedassets/public/alameda/police/policy-manual.pdf","","Government page","","2/26/20","http://www.alamedamagazine.com/Debate-Continues-on-Alameda-Body-Camera-Usage/","","www.alamedamagazine.com","","","","","","","",""
"AOS0293","Albany","Alameda County","CA","Albany Police Department","Police","Albany Police Department uses Axon Body 2 body-worn cameras ,which they purchased in 2017.","Municipal","Body-worn Cameras","Axon","https://albanypd.files.wordpress.com/2016/02/albany-police-community-notification-17-1541.pdf","","City of Albany Department of Police","","11/2/17","https://albanypd.wordpress.com/","","albanypd.wordpress.com","","","","","","","",""
"AOS0294","Berkeley","Alameda County","CA","Berkeley Police Department","Police","The Berkeley Police Department uses body-worn cameras","Municipal","Body-worn Cameras","","https://www.cityofberkeley.info/uploadedFiles/Police/Level_3_-_General/Body_Worn_Cameras.pdf","","City of Berkeley","","1/31/19","https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&ved=2ahUKEwiGocfikavpAhVMvZ4KHQsKCFAQFjAAegQIARAB&url=https%3A%2F%2Fwww.cityofberkeley.info%2FClerk%2FCity_Council%2F2017%2F06_June%2FDocuments%2F2017-06-27_Item_24_Contract__Axon.aspx&usg=AOvVaw0GZsLv1iKShRKn-cbghefP","","www.google.com","","","","","","","",""
"AOS0295","Emeryville","Alameda County","CA","Emeryville Police Department","Police","The Emeryville Police Department began using Vievu body-worn cameras in August 2015. The U.S. Department of Justice awarded $67,500 to the Emeryville Police Department in 2018 as part of the Bureau of Justice Assistance's body-worn camera grant program.","Municipal","Body-worn Cameras","Axon","https://www.eastbayexpress.com/oakland/the-police-body-cameras-wars/Content?oid=4612063","","East Bay Express","","12/16/2015","https://www.documentcloud.org/documents/6573650-BWCPIP-Award-Fact-2018Final.html","","U.S Department of Justice","","2018","","","","","",""
"AOS0296","Fremont","Alameda County","CA","Fremont Police Department","Police","The Fremont Police Department issued body-worn cameras to all sworn officers and non-sworn Animal Service Officers and Community Service Officers in November 2018.","Municipal","Body-worn Cameras","WatchGuard","https://www.fremontpolice.gov/about-us/transparency-portal/body-worn-cameras","","Fremont PD","","11/15/18","","","","","","","","","","",""
"AOS0297","Hayward","Alameda County","CA","Hayward Police Department","Police","The Hayward Police Department began using body-worn cameras in January 2016.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/HaywardPoliceDept/photos/a.629032127151028/1009326222454948/?type=1&theater","","Hayward PD","","1/28/2016","http://burbank.granicus.com/MetaViewer.php?view_id=6&clip_id=6889&meta_id=266915","","burbank.granicus.com","","","","","","","",""
"AOS0298","Livermore","Alameda County","CA","Livermore Police Department","Police","The Livermore Police Department began equipping all of its officers with body-worn cameras in April 2015.","Municipal","Body-worn Cameras","Axon","https://www.independentnews.com/news/all-livermore-police-now-wear-body-cameras/article_de1013e2-e92d-11e4-8d90-3ffa3ce4b78e.html","","The Independent","","4/23/2015","","","","","","","","","","",""
"AOS0299","Newark","Alameda County","CA","Newark Police Department","Police","The Newark Police Departmentpurchased 65 body-worn cameras from Vievu in May 2018.","Municipal","Body-worn Cameras","VieVu","https://www.eastbaytimes.com/2018/05/30/ebt-l-bodycams-0530/","","East Bay Times","","5/30/2018","","","","","","","","","","",""
"AOS0300","Oakland","Alameda County","CA","Oakland Police Department","Police","The Oakland Police Department uses Axon body-worn cameras. ","Municipal","Body-worn Cameras","Axon","https://abc7news.com/body-camera-police-cam-video-oakland-department/4536905/","","ABC7 News","","10/22/18","http://burbank.granicus.com/MetaViewer.php?view_id=6&clip_id=6889&meta_id=266915","","burbank.granicus.com","","","","","","","",""
"AOS0301","Piedmont","Alameda County","CA","Piedmont Police Department","Police","The Piedmont Police Department uses body-worn cameras. ","Municipal","Body-worn Cameras","Axon","https://piedmont.ca.gov/UserFiles/Servers/Server_13659739/File/Government/Departments/Police%20Department/Portable_Audio_Video_Recorders%20(2).pdf","","Piedmont PD","","10/22/2019","https://www.facebook.com/photo?fbid=524628928221195&set=a.524629078221180","","www.facebook.com","","","","","","","",""
"AOS0302","Pleasanton","Alameda County","CA","Pleasanton Police Department","Police","The Pleasanton Police Department purchased 86 Axon body-worn cameras in July 2015.","Municipal","Body-worn Cameras","Axon","https://investor.axon.com/press-releases/press-release-details/2015/Montgomery-County-Deploys-Axon-Body-Cameras-with-Evidencecom-From-TASER/default.aspx","","Axon.com","","07/22/2015","https://www.independentnews.com/news/officer-body-cam-video-shows-moments-before-suspect-s-death/article_7844dcd0-7f98-11ea-9192-1f8fb31f569b.html","","The Independent","","04/16/2020","https://www.facebook.com/photo/?fbid=2709249562454357&set=a.670443733001627","","Pleasanton PD","","12/6/2019",""
"AOS0303","San Leandro","Alameda County","CA","San Leandro Police Department","Police","The San Leandro Police Department uses Axon body-worn cameras. ","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo/?fbid=2753329591345067&set=a.675734449104602","","San Leandro PD","","","http://burbank.granicus.com/MetaViewer.php?view_id=6&clip_id=6889&meta_id=266915","","burbank.granicus.com","","","","","","","",""
"AOS0304","Union City","Alameda County","CA","Union City Police Department","Police","The Union City Police Department's Facebook page includes photos of officers wearing Vievu LE5 body-cams.","Municipal","Body-worn Cameras","CopVu/Vievu","https://www.facebook.com/photo/?fbid=3210515102299161&set=a.1259337230750301","","Union City PD","","","http://burbank.granicus.com/MetaViewer.php?view_id=6&clip_id=6889&meta_id=266915","","burbank.granicus.com","","","","","","","",""
"AOS0305","Brentwood","Contra Costa County","CA","Brentwood Police Department","Police","The Brentwood Police Department's Facebook page features officers wearing the Axon Vievu LE5","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo/?fbid=2335399619905980&set=a.862186870560603","","Brentwood PD","","","","","","","","","","","","",""
"AOS0306","Concord","Contra Costa County","CA","Concord Police Department","Police","The Concord Police Department's Facebook page features officers wearing the Axon Body 2.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo/?fbid=2341254335975962&set=a.643311435770269","","Concord PD","","","","","","","","","","","","",""
"AOS0307","Danville","Contra Costa County","CA","Danville Police Department","Police","The Danville Police Department's Facebook page features officers wearing the Axon Body 2 as of March 2020.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo?fbid=3090448944312881&set=a.275814919109645","","Danville PD","","2020","","","","","","","","","","",""
"AOS0308","Castro Valley","Contra Costa County","CA","East Bay Regional Park District PD","Police","The East Bay Regional Park District Police Department's Facebook page features officers wearing the Axon Body 2.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo/?fbid=2753903181386273&set=a.530715853705028","","Facebook ","","","","","","","","","","","","",""
"AOS0309","El Cerrito","Contra Costa County","CA","El Cerrito Police Department","Police","All El Cerrito Police Department officers use body-worn cameras when in the field.","Municipal","Body-worn Cameras","Axon","https://www.el-cerrito.org/CivicAlerts.aspx?AID=429","","ECPD","","","","","","","","","","","","",""
"AOS0310","Hercules","Contra Costa County","CA","Hercules Police Department","Police","The Hercules Police Department Facebook page features officers wearing the Axon Body 2.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo/?fbid=2932508036814501&set=a.1981403211924993","","Hercules PD","","","","","","","","","","","","",""
"AOS0311","Kensington","Contra Costa County","CA","Kensington Police Department","Police","The Kensington Police Department Facebook page features officers wearing the Axon Body 2.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/photo/?fbid=208339007278057&set=a.146806563431302","","Facebook ","","","","","","","","","","","","",""
"AOS0312","Lafayette","Contra Costa County","CA","Lafayette Police Department","Police","The Lafayette Police Department procured body cameras for its force in 2016. ","Municipal","Body-worn Cameras","","https://www.lovelafayette.org/home/showdocument?id=3607","","https://www.lovelafayette.org/home/showdocument?id=3607","","","","","","","","","","","","",""
"AOS0313","Moraga","Contra Costa County","CA","Moraga Police Department","Police","The Moraga Police Department began using body-worn cameras in 2015.","Municipal","Body-worn Cameras","VieVu","http://www.lamorindaweekly.com/archive/issue0902/Body-Worn-Cameras-for-Moraga-Police-Officers.html","","Lamorinda Weekly","","3/25/2015","http://www.moraga.ca.us/council/meetings/2015/040815/IX.%20A.%20PD%20Security%20Cameras%20and%20License%20Plate%20Readers.pdf","","www.moraga.ca.us","","","","","","","",""
"AOS0314","Oakley","Contra Costa County","CA","Oakley Police Department","Police","The Oakley Police Department began using body-worn cameras in 2017.","Municipal","Body-worn Cameras","","https://www.ci.oakley.ca.us/wp-content/uploads/2018/04/Annual-Report-2017-2-2.pdf","","The Oakley Police Department","","2/2/2017","https://romickinoakley.wordpress.com/2017/12/28/oakley-police-to-wear-body-cameras/","","romickinoakley.wordpress.com","","","","","","","",""
"AOS0315","Pinole","Contra Costa County","CA","Pinole Police Department","Police","The Pinole Police Department began using Axon body-worn cameras in October/November 2016.","Municipal","Body-worn Cameras","Axon","https://www.facebook.com/PinolePD/photos/smile-youre-on-camerathe-pinole-police-department-has-issued-body-cameras-to-eac/1210749592297690/","","Pinole Police Department","","11/2/2016","","","","","","","","","","",""
"AOS0316","Pittsburg","Contra Costa County","CA","Pittsburg Police Department","Police","The Pittsburg Police Department uses body-worn cameras and have policies regarding video usage.","Municipal","Body-worn Cameras","Axon","http://burbank.granicus.com/MetaViewer.php?view_id=6&clip_id=6889&meta_id=266915","","California Police Chiefs Association","","2015","","","","","","","","","","",""
